Grelier, Jean Carles - 2017-10-27-09:03:46 >> activProfCinqDerniereDto >> item >> description,Avocat
MAZARS, stéphane - 2019-08-30-10:44:26 >> activProfCinqDerniereDto >> commentaire,avocat généraliste au sein d'une SCP au barreau de l'AVEYRON je ne connais pas encore mon BNC de 2017. Pendant mon mandat de sénateur mes revenus pro étaient moins importants (moins d'industrie) en accord avec mes associés.
Bachelier, Florian - 2020-05-18-16:32:26 >> fonctionBenevoleDto >> item >> nomStructure,Advocassociation uk - réseau de cabinets d'avocats
Cicurel, Ilana - 2020-07-17-13:30:03 >> activProfCinqDerniereDto >> item >> description,Avocate
LARRIVE, Guillaume - 2017-11-22-19:15:47 >> activProfCinqDerniereDto >> item >> description,Avocat
THOUROT, Alice - 2017-11-30-13:14:22 >> participationDirigeantDto >> item >> nomSociete,SAS D'AVOCAT THOUROT
FUGIT, Jean-Luc - 2017-07-12-11:04:59 >> activCollaborateursDto >> Lougraida-DUMAS Myriam >> employeur,Myriam LOUGRAIDA-DUMAS Entreprise Individuelle
        [Données non publiées]
    Avocat inscrit au Barreau de Lyon
THOUROT, Alice - 2017-11-30-13:14:22 >> activProfCinqDerniereDto >> item >> employeur,SAS D'AVOCAT THOUROT
DUPOND-MORETTI, Eric - 2020-10-30-15:14:16 >> attachedFiles >> attachedFiles >> item >> fileName,SELARLU DUPOND MORETTI AVOCAT - Liasse 2065- 06.07.2020.pdf
BLANC, Etienne - 2019-01-24-17:58:30 >> activProfCinqDerniereDto >> commentaire,Membre du barreau des avocats de l'Ain sans exercer.
CLEMENT, Jean Michel - 2020-01-29-16:22:37 >> activCollaborateursDto >> PAPINEAU Julien >> commentaire,exerce par ailleurs activité d'avocat
DUPOND-MORETTI, Eric - 2020-10-30-15:16:15 >> participationFinanciereDto >> item >> nomSociete,SELARLU DUPOND-MORETTI AVOCAT
MAZARS, stéphane - 2017-10-30-15:19:22 >> participationDirigeantDto >> item >> nomSociete,SCP d'avocats
JOFFROY, Catherine - 2019-07-29-14:57:13 >> mandatElectifDto >> descriptionMandat,président du conseil de discipline des avocats du ressort de la Cour d'Appel d'AGEN du resso
Moutchou, NaÃ¯ma - 2017-08-21-17:16:13 >> activProfConjointDto >> activiteProf,Avocat
Tourret, Alain - 2019-01-21-12:20:13 >> activProfCinqDerniereDto >> description,Avocat
Ferrand, Richard - 2019-09-03-15:09:13 >> activProfConjointDto >> activiteProf,AVOCATE
DOMINATI, PHILIPPE - 2017-11-28-22:25:01 >> activProfConjointDto >> employeurConjoint,AVOCATE
GOULET, NATHALIE - 2017-10-25-16:03:58 >> activProfCinqDerniereDto >> item >> description,Avocat Collaborateur
Griveaux, Benjamin - 2019-11-13-11:17:40 >> activProfConjointDto >> employeurConjoint,Cabinet d'avocats 
        [Données non publiées]
mortier, pauline - 2017-12-12-10:05:03 >> activProfCinqDerniereDto >> description,Avocat
MAZARS, stéphane - 2017-08-14-16:56:15 >> activProfCinqDerniereDto >> commentaire,avocat généraliste au sein d'une SCP au barreau de l'AVEYRON je ne connais pas encore mon BNC de 2017. Pendant mon mandat de sénateur mes revenus pro étaient moins importants (moins d'industrie) en accord avec mes associés.
BLANC, Etienne - 2018-01-23-17:28:16 >> activProfCinqDerniereDto >> commentaire,Membre du barreau des avocats de l'Ain sans exercer.
LARRIVE, Guillaume - 2019-12-19-08:24:05 >> activProfCinqDerniereDto >> item >> description,Avocat
SELLIER, GILLES - 2018-03-03-23:11:56 >> activProfConjointDto >> activiteProf,avocat
BASCHER, Jérôme - 2017-12-18-22:43:44 >> activCollaborateursDto >> CHAIX Carine >> descriptionActivite,avocat à la cour
MAZARS, stéphane - 2017-10-30-15:19:22 >> activProfCinqDerniereDto >> commentaire,avocat généraliste au sein d'une SCP au barreau de l'AVEYRON je ne connais pas encore mon BNC de 2017. Pendant mon mandat de sénateur mes revenus pro étaient moins importants (moins d'industrie) en accord avec mes associés.
SAVIGNAT, Antoine - 2018-03-26-10:53:58 >> participationDirigeantDto >> item >> activite,Cabinet d'Avocats
Morin, olivier - 2018-11-20-16:22:26 >> activProfCinqDerniereDto >> employeur,Selarl O.Morin-A.PiaultAvocat
Houlié, Sacha - 2019-12-22-17:04:48 >> activProfCinqDerniereDto >> description,Avocat libéral
Bachelier, Florian - 2019-01-07-17:04:17 >> fonctionBenevoleDto >> item >> nomStructure,Advocassociation uk - réseau de cabinets d'avocats
Moutchou, NaÃ¯ma - 2018-10-04-18:26:56 >> activProfConjointDto >> activiteProf,Avocat
MIRALLES, PATRICIA - 2017-10-30-17:07:11 >> activCollaborateursDto >> Courageux Vincent >> employeur,Avocat au barreau de Paris
Cicurel, Ilana - 2020-10-25-20:55:19 >> activProfCinqDerniereDto >> item >> description,Avocate
BLANC, Etienne - 2018-01-23-17:28:16 >> activProfCinqDerniereDto >> description,AVOCAT
LARRIVE, Guillaume - 2017-07-31-16:54:43 >> activProfCinqDerniereDto >> item >> employeur,Avocat
