Bachelier, Florian - 2021-10-11-09:49:04 >> participationDirigeantDto >> activite,cabinet d'avocats
GERNEZ, bertrand - 2020-10-21-11:46:40 >> activProfConjointDto >> activiteProf,Activité libérale AVOCAT
Margueritte, David - 2020-09-20-19:00:35 >> activProfCinqDerniereDto >> commentaire,Bénéfice net (2035) Bénéfices des années précédentes déclarées dans la précédente déclaration. Activités d’avocat libéral et de formateur en droit public
GERNEZ, bertrand - 2021-05-11-15:38:41 >> activProfConjointDto >> activiteProf,Activité libérale AVOCAT
Cicurel, Ilana - 2020-07-17-13:30:03 >> activProfCinqDerniereDto >> item >> description,Avocate
Nicolas, Gaëlle - 2020-11-25-21:44:05 >> activProfCinqDerniereDto >> description,Avocat
MOREL, jean-philippe - 2021-02-07-17:11:09 >> activProfCinqDerniereDto >> employeur,avocat individuel
Nicolas, Gaëlle - 2020-11-25-21:44:05 >> activProfCinqDerniereDto >> commentaire,Depuis fin décembre 2019, j'ai sollicité mon omission du tableau de l'ordre des avocats du Barreau de Quimper auprès duquel j'étais inscrite, l'exercice de mes mandats ne rendant plus possible le maintien de mon activité professionnelle. Je n'ai plus de revenu au titre des bénéfices non commerciaux depuis 2019
Luciano, Kevin - 2021-09-26-14:47:25 >> activProfCinqDerniereDto >> item >> description,Avocat
FAVREAU, GILBERT - 2020-11-14-17:19:44 >> activProfCinqDerniereDto >> description,Avocat
DUPOND-MORETTI, Eric - 2020-10-30-15:14:16 >> attachedFiles >> attachedFiles >> item >> fileName,SELARLU DUPOND MORETTI AVOCAT - Liasse 2065- 06.07.2020.pdf
GOULET, NATHALIE - 2021-01-04-10:02:51 >> activProfCinqDerniereDto >> item >> commentaire,Le contrat avec le Cabinet Shefet a été résilié le 25 juillet 2018 Cessation d'activité d'avocat le 15 octobre 2018
BRIAND, Sacha - 2020-09-03-16:18:29 >> activProfCinqDerniereDto >> description,avocat, organisme agréé pour la formation des élus locaux
Bachelier, Florian - 2020-11-14-17:26:26 >> participationDirigeantDto >> activite,cabinet d'avocats
GOMEZ-BASSAC, Valerie - 2021-05-05-15:54:06 >> participationFinanciereDto >> item >> remuneration,27850 EN 2016 EN TANT QU'AVOCATE ASSOCIE GERANTE
Bachelier, Florian - 2017-08-11-18:24:06 >> fonctionBenevoleDto >> item >> nomStructure,Advoc association uk - réseau de cabinets d'avocats
NICOLIN, Yves - 2020-12-30-20:54:17 >> activProfCinqDerniereDto >> employeur,AVOCAT
pericard, arnaud - 2021-02-10-20:02:39 >> participationDirigeantDto >> item >> commentaire,- nommé en tant que directeur général de la SELAS le 1er octobre 2014 - pas de rémunération en tant que directeur général - les rémunérations perçues en tant qu'avocat ont été renseignés au 1er paragraphe
THOUROT, Alice - 2020-07-03-16:04:11 >> participationDirigeantDto >> item >> commentaire,La AARPI était constituée de la SELARL CABINET CHAMPAUZAC et de la SAS D'AVOCAT THOUROT. Sa dissolution a été actée entre juin et juillet 2017(AG + Ordre des Avocats).
MIRALLES, PATRICIA - 2017-10-30-17:07:11 >> activCollaborateursDto >> Courageux Vincent >> employeur,Avocat au barreau de Paris
leclercq, Caroline - 2020-07-14-23:28:27 >> participationDirigeantDto >> item >> nomSociete,AARPI ACCESS AVOCAT
DUPOND-MORETTI, Eric - 2020-10-30-15:14:16 >> fondDto >> description,Fonds libéral d'avocat
Auslender, Jérôme - 2020-09-15-12:26:32 >> activProfCinqDerniereDto >> item >> description,Avocat
MIRALLES, PATRICIA - 2018-02-18-10:18:34 >> activCollaborateursDto >> Courageux Vincent >> descriptionActivite,Avocat
BUFFET, FRANCOIS NOEL - 2020-11-22-19:39:53 >> activProfCinqDerniereDto >> item >> description,AVOCAT
bonnecarrere, philippe - 2021-06-07-11:26:46 >> activProfCinqDerniereDto >> item >> employeur,exercice liberal en tant que membre de la scp davocats portant notamment mon nom
Avia, Laetitia - 2017-08-08-19:36:56 >> activProfCinqDerniereDto >> item >> description,Avocate en exercice libéral
THURIOT, Denis - 2020-07-31-23:47:58 >> activProfCinqDerniereDto >> description,avocat
Auslender, Jérôme - 2021-08-03-14:44:35 >> participationFinanciereDto >> nomSociete,LKJ AVOCATS
LARRIVE, Guillaume - 2019-01-16-13:24:18 >> activProfCinqDerniereDto >> item >> description,Avocat
PULVAR, Audrey - 2020-10-28-21:52:28 >> activConsultantDto >> item >> nomEmployeur,Ordre des Avocats
BLANC, Etienne - 2020-11-25-14:06:03 >> participationDirigeantDto >> item >> activite,AVOCAT
