Bachelier, Florian >> participationDirigeantDto >> activite;cabinet d'avocats
HURMIC, Pierre >> activProfCinqDerniereDto >> description;Avocat
THOUROT, Alice >> participationDirigeantDto >> item >> nomSociete;SAS D'AVOCAT THOUROT
Didier, Geoffroy >> activProfCinqDerniereDto >> item >> description;avocat
Foveau, Tristan >> activProfConjointDto >> activiteProf;Avocate collaboratrice libérale 
        [Données non publiées]
Questel, Bruno >> activProfCinqDerniereDto >> description;Avocat
DOMINATI, PHILIPPE >> activProfConjointDto >> activiteProf;AVOCATE
BASCHER, Jérôme >> activCollaborateursDto >> CHAIX Carine >> descriptionActivite;avocat à la cour
paoli-gagin, Vanina >> activProfCinqDerniereDto >> item >> description;Avocat
LEROY, Sebastien >> participationDirigeantDto >> item >> nomSociete;SELARL LEGIPOLIS AVOCATS
MOREL, jean-philippe >> activProfCinqDerniereDto >> employeur;avocat individuel
AUDEGOND, Armand >> activProfConjointDto >> activiteProf;AVOCATE
SAVIGNAT, Antoine >> activProfCinqDerniereDto >> description;AVOCAT
Margueritte, David >> activProfCinqDerniereDto >> description;Avocat
Verdier, Fabien >> activProfConjointDto >> activiteProf;Avocate/juriste
        [Données non publiées]
LEROY, Sebastien >> participationDirigeantDto >> item >> commentaire;SCI détenant les locaux du Cabinet d'Avocats
gilbert, collard >> activProfCinqDerniereDto >> description;AVOCAT
LEROY, Franck >> activProfCinqDerniereDto >> description;Avocat
DUPOND-MORETTI, Eric >> fondDto >> description;Fonds libéral d'avocat
Albertini, Xavier >> activProfCinqDerniereDto >> item >> description;Avocat Associé Droit Fiscal/Droit Sociétés
BASCHER, Jérôme >> activCollaborateursDto >> CHAIX Carine >> employeur;Avocat, profession libérale
Rivière, Jérôme >> activConsultantDto >> item >> nomEmployeur;Avocat
MICHEL, Jean-Paul >> activProfConjointDto >> activiteProf;AVOCAT
Galliard-Minier, Camille >> activProfCinqDerniereDto >> item >> description;Avocat
SAVIGNAT, Antoine >> participationDirigeantDto >> item >> activite;Cabinet d'Avocats
Vigier, Jean-françois >> activProfCinqDerniereDto >> employeur;Squadra avocats activite non salariee
LAMBERT, François-Michel >> activCollaborateursDto >> RIAM Frédérique >> descriptionActivite;Avocate collaboratrice (collaboration libérale)
Cardon, Rémi >> activProfConjointDto >> activiteProf;Avocate
BLANC, Jean-Baptiste >> observationInteretDto >> contenu;Avocat au Barreau d'Avignon depuis le 24/06/2005, je n'exerce plus mon activité d'avocat depuis mon élection et me suis fait omettre du barreau le 18 Mars 2021.
SYLLA, Sira >> activProfCinqDerniereDto >> description;Avocat
Gauvain, Raphael >> activProfCinqDerniereDto >> commentaire;J'ai demandé mon omission du Barreau de Paris à compter du 1er aout 2017. Je n'exercerai donc pas la profession d'avocat pendant mon mandat parlementaire. Les comptes du cabinet sont en cours de finalisation. Je serai donc en mesure de déclarer mes revenus 2017 définitif au titre de cette activité à la fin de l'année.
MAZARS, stéphane >> activProfCinqDerniereDto >> employeur;associé dans une SCP d'AVOCATS
BRIERE, Quentin >> activProfCinqDerniereDto >> item >> description;Avocat
PLENET, CLAUDE >> activProfCinqDerniereDto >> item >> description;AVOCAT
Terrier, Thomas >> activProfCinqDerniereDto >> description;AVOCAT
de Maistre, Elisabeth >> activProfCinqDerniereDto >> item >> description;avocat libéral
BLANCHÉ, Hervé >> activProfCinqDerniereDto >> description;AVOCAT
SAVIGNAT, Antoine >> activProfConjointDto >> activiteProf;Avocat associée
Marsigny, Brigitte >> activProfCinqDerniereDto >> description;avocat
MOREL A L'HUISSIER, PIERRE >> activProfCinqDerniereDto >> description;AVOCAT
Hocquard, frederic >> activProfConjointDto >> activiteProf;Avocate
HERBILLON, DIDIER >> activProfConjointDto >> activiteProf;Assistante d'avocats
GOULET, NATHALIE >> activProfCinqDerniereDto >> item >> commentaire;Le contrat avec le Cabinet Shefet a été résilié le 25 juillet 2018Cessation d'activité d'avocat le 15 octobre 2018
BOURDOULEIX, gilles >> participationFinanciereDto >> item >> commentaire;Associé cabinet d'avocat
Dubreuil, Charles-André >> activConsultantDto >> item >> nomEmployeur;Cabinet d'avocats Wedrychowski ; Orléans
leclercq, Caroline >> activProfCinqDerniereDto >> description;avocat
DEPONDT, Jérôme >> participationDirigeantDto >> nomSociete;IFL AVOCATS
AUDEGOND, Armand >> activProfCinqDerniereDto >> description;AVOCAT
BUGIS, Pascal >> activProfConjointDto >> activiteProf;Salariée cabinet d'avocat
BILLOUDET, GUY >> activProfConjointDto >> activiteProf;Avocat
Vogel, Louis >> activProfCinqDerniereDto >> item >> description;Cabinet d'avocats
FUGIT, Jean-Luc >> activCollaborateursDto >> Lougraida-DUMAS Myriam >> commentaire;Se conforme à l'article 122-1 du Décret n°91-1197 du 27 novembre 1991 organisant la profession d'avocat.
Cauchetier, Yann >> activProfCinqDerniereDto >> description;Avocat Gérant
paoli-gagin, Vanina >> activProfCinqDerniereDto >> item >> commentaire;Je conserve mon activité d'Avocat durant mon mandat de Sénateur
LARRIVE, Guillaume >> activProfCinqDerniereDto >> item >> description;Avocat
MILLER, Laure >> activProfCinqDerniereDto >> item >> employeur;Avocat collaborateur libéral
Arminjon, Christophe >> participationDirigeantDto >> item >> commentaire;Détention du capital de la société d'exercice libéral ALTERIUS Avocats
MAZARS, stéphane >> participationDirigeantDto >> item >> commentaire;je suis co-gérant avec mes associés de la SCI propriétaire du cabinet d'avocats.
Nicolas, Gaëlle >> activProfConjointDto >> activiteProf;avocat
Copé, Jean-François >> activProfCinqDerniereDto >> item >> description;Avocat of counsel
Auslender, Jérôme >> activProfCinqDerniereDto >> item >> description;Avocat
Trébulle, François Guy >> activProfConjointDto >> activiteProf;Avocat, collaboratrice d'une SCP d'Avocats aux Conseils
Cicurel, Ilana >> activProfCinqDerniereDto >> item >> description;Avocate
longuet, gerard >> activProfConjointDto >> activiteProf;avocat
ZORN, Caroline >> activProfCinqDerniereDto >> item >> description;Avocate
vabre, caroline >> activProfCinqDerniereDto >> employeur;Profession libérale AVOCAT exercée à titre individuel
gilbert, collard >> participationDirigeantDto >> activite;SOCIETE D'AVOCATS
SALLES BARBOSA, Jennifer >> activProfCinqDerniereDto >> description;AVOCATE
NICOLIN, Yves >> activProfCinqDerniereDto >> description;AVOCAT A LA COUR D'APPEL DE PARIS
RITOURET, Bertrand >> activProfCinqDerniereDto >> description;avocat
CHENEAU, François >> activProfCinqDerniereDto >> description;avocats
blanc, sophie >> activProfCinqDerniereDto >> description;avocate
SCHALCK, ELSA >> activProfCinqDerniereDto >> item >> commentaire;Poursuite de l'activité libérale d'avocat à titre individuel, en droit privé.
Brosse, Laurent >> activProfCinqDerniereDto >> description;Avocat
BLANC, Etienne >> participationDirigeantDto >> item >> activite;AVOCAT
FAURE, Bertrand >> participationDirigeantDto >> commentaire;La rémunération de gérance perçue correspond à ma rémunération d'avocat
Hennion, Christine >> activProfCinqDerniereDto >> item >> employeur;Pelletier-avocat
Bachelier, Florian >> fonctionBenevoleDto >> item >> nomStructure;Advocassociation uk - réseau de cabinets d'avocats
pericard, arnaud >> participationDirigeantDto >> item >> activite;cabinet d'avocats
Vogel, Louis >> participationFinanciereDto >> item >> commentaire;Il s'agit du cabinet d'avocats au sein duquel j'exerce mon activité professionnelle.
Lochmann Beaujour, Sabine >> valeursNonEnBourseDto >> item >> commentaire;activité d'avocat de mon conjoint
ANTHOINE, Emmanuelle >> observationInteretDto >> contenu;J'ai cessé mon activité professionnelle d'avocat au 31/12/2018 et ai cédé ma clientèle.
Baroin, François >> activProfCinqDerniereDto >> item >> description;Inscription en qualité d'Avocat à la Chambre Arbitrale Internationale de Paris
Baroin, François >> activProfCinqDerniereDto >> item >> employeur;Avocat exerçant en régime libéral. Associé AARPI STAS depuis 03/04/2018.
LEROY, Sebastien >> participationDirigeantDto >> item >> activite;AVOCATS
bonnecarrere, philippe >> activProfCinqDerniereDto >> item >> description;avocat
FUGIT, Jean-Luc >> activCollaborateursDto >> Lougraida-DUMAS Myriam >> employeur;Myriam LOUGRAIDA-DUMAS Entreprise Individuelle -
        [Données non publiées]
     Avocat inscrit au Barreau de Lyon
pericard, arnaud >> participationDirigeantDto >> item >> commentaire;- nommé en tant que directeur général de la SELAS le 1er octobre 2014 - pas de rémunération en tant que directeur général - les rémunérations perçues en tant qu'avocat ont été renseignés au 1er paragraphe
GOMEZ-BASSAC, Valerie >> activConsultantDto >> item >> description;Avocate associée gérante
MODURIER, Aurélien >> activProfCinqDerniereDto >> item >> commentaire;Cabinet d'avocat spécialisé en droit de la concurrence et droit de la distribution. Dans le cadre d'une année de césure.
Cicurel, Ilana >> activProfCinqDerniereDto >> item >> commentaire;Avocate au Barreau de Paris, au sein du cabinet M&LA. Activité déficitaire en 2018 (un mois) et 2019. Dans le cadre du lancement de mon activité, j'ai bénéficié d'une ARCE de Pole Emploi (montant total de 18727 euros attribué en décembre 2018 et versé en 2019). Absence de revenus en 2020 en qualité d'avocate.
SCHALCK, ELSA >> activProfCinqDerniereDto >> item >> description;avocat libéral
Foveau, Tristan >> activProfCinqDerniereDto >> item >> description;Elève-avocat stagiaire
MANUOHALALO, Magali >> activProfCinqDerniereDto >> description;avocat
MAZARS, stéphane >> activProfCinqDerniereDto >> description;avocat associé
SYLLA, Sira >> activProfCinqDerniereDto >> commentaire;J'envisage de suspendre mon activité d'avocat à la fin de l'année 2017.
KAMARDINE, Mansour >> activProfCinqDerniereDto >> description;AVOCAT
KERN, Bertrand >> activProfConjointDto >> activiteProf;AvocateEnseignante
GERNEZ, bertrand >> activProfConjointDto >> activiteProf;Activité libérale AVOCAT
LABELLE, pascal >> activProfCinqDerniereDto >> employeur;avocat
AUDEGOND, Armand >> activProfCinqDerniereDto >> commentaire;BNC PROFESSION LIBERALE AVOCAT
BUFFET, FRANCOIS NOEL >> activProfCinqDerniereDto >> item >> description;AVOCAT
Gauvain, Raphael >> activProfCinqDerniereDto >> description;Avocat associé chez Boken
Rouillard, Gwendal >> activProfConjointDto >> activiteProf;Avocate
        [Données non publiées]
     de l'entreprise
Reardon, Matthew >> activProfCinqDerniereDto >> description;Avocat agréé près les Tribunaux
LABELLE, pascal >> activProfConjointDto >> activiteProf;avocat
DUPOND-MORETTI, Eric >> attachedFiles >> attachedFiles >> item >> fileName;SELARLU DUPOND MORETTI AVOCAT - Liasse 2065- 06.07.2020.pdf
AESCHLIMANN, MANUEL >> activProfCinqDerniereDto >> item >> description;Avocat à la Cour
WILLIAM, Jiovanny >> activProfCinqDerniereDto >> description;avocat libéral
BOURDOULEIX, gilles >> activProfCinqDerniereDto >> description;avocat
THOUROT, Alice >> activProfCinqDerniereDto >> item >> employeur;SAS D'AVOCAT THOUROT
Auslender, Jérôme >> activProfCinqDerniereDto >> item >> employeur;Société LKJ AVOCATS
JEAN, TERLIER >> participationDirigeantDto >> activite;AVOCAT
ALIOT, Louis >> activProfCinqDerniereDto >> item >> description;avocat
LABELLE, pascal >> activProfCinqDerniereDto >> description;avocat
gilbert, collard >> participationDirigeantDto >> commentaire;POUR 2019 LE BILAN N'EST PAS ETABLI CETTE REMUNERATION COUVRE LA DUALITE GERANT AVOCAT ET A DONC ETE DEJA DECLARE DANS ACTIVITE PROFESSIONNELLE
Margueritte, David >> activProfCinqDerniereDto >> employeur;Avocat libéral
DUPOND-MORETTI, Eric >> valeursNonEnBourseDto >> item >> denomination;SELARLU DUPOND-MORETTI AVOCAT
Grau, Romain >> activProfCinqDerniereDto >> employeur;Taj société d'avocats
MIRALLES, PATRICIA >> activCollaborateursDto >> Courageux Vincent >> employeur;Avocat au barreau de Paris
Foveau, Tristan >> activProfCinqDerniereDto >> item >> commentaire;5 mois de stage réalisé au titre de ma formation à l'école des avocats de Lille dans le cadre de la reprise de celle-ci après sa suspension temporaire.
Moutchou, NaÃ¯ma >> activProfConjointDto >> activiteProf;Avocat
Hocquard, frederic >> activProfConjointDto >> employeurConjoint;Avocate
THOUROT, Alice >> activProfCinqDerniereDto >> item >> description;AVOCAT
Biemouret, Gisèle >> activCollaborateursDto >> RODRIGUEZ Antoine >> employeur;Avocat
GOULET, NATHALIE >> activProfCinqDerniereDto >> item >> description;Avocat Collaborateur
Grelier, Jean Carles >> activProfCinqDerniereDto >> item >> description;Avocat
THOUROT, Alice >> participationDirigeantDto >> item >> commentaire;La AARPI était constituée de la SELARL CABINET CHAMPAUZAC et de la SAS D'AVOCAT THOUROT. Sa dissolution a été actée entre juin et juillet 2017(AG + Ordre des Avocats).
BAUDOUX, Gérard >> activProfConjointDto >> activiteProf;AVOCAT
BAUDOUX, Gérard >> activProfCinqDerniereDto >> description;AVOCAT
ANTHOINE, Emmanuelle >> activProfCinqDerniereDto >> commentaire;J'exerce mon activité professionnel d'avocate depuis janvier 1990
CLEMENT, Jean Michel >> activProfCinqDerniereDto >> description;Avocat
DUFFOURG, ALAIN >> activProfCinqDerniereDto >> description;AVOCAT
Auslender, Jérôme >> participationDirigeantDto >> item >> nomSociete;Société d'exercice libéral à responsabilité limitée, LKJ Avocats
THURIOT, Denis >> activProfCinqDerniereDto >> description;avocat
VOITURIEZ, Anne >> activProfCinqDerniereDto >> item >> commentaire;mon activité d'avocate est résiduelle
Meunier, Frederique >> activProfCinqDerniereDto >> commentaire;J'ai cessé mon activité d'avocat depuis le 1er janvier 2018
SABATINI, Anaïs >> activProfCinqDerniereDto >> item >> description;Eleve Avocate
Degois, Typhanie >> activProfCinqDerniereDto >> item >> employeur;Cabinet Christel Boissel Avocat
Copé, Jean-François >> activProfCinqDerniereDto >> item >> employeur;Avocat à mon compte
Brosse, Laurent >> activProfCinqDerniereDto >> employeur;PwC Société d'avocats
DEL POSO, thierry >> activProfCinqDerniereDto >> item >> description;AVOCAT
Margueritte, David >> activProfCinqDerniereDto >> commentaire;Bénéfice net (2035) Bénéfices des années précédentes déclarées dans la précédente déclaration. Activités d’avocat libéral et de formateur en droit public
FUGIT, Jean-Luc >> activCollaborateursDto >> Lougraida-DUMAS Myriam >> descriptionActivite;Avocat : prestations de conseil et de contentieux en droit public à l'attention des collectivités locales
LARRIVE, Guillaume >> activProfCinqDerniereDto >> item >> employeur;Avocat
